"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"328","exhaustive_test","OCS","clusterMedium",28,7.64870139557216,NA,NA,NA
"329","exhaustive_test","OCS","clusterMedium",29,7.49147340221512,NA,NA,NA
"330","exhaustive_test","OCS","clusterMedium",30,7.50113749648028,NA,NA,NA
"331","exhaustive_test","OCS","clusterMedium",31,7.77938640011832,NA,NA,NA
"332","exhaustive_test","OCS","clusterMedium",32,7.46723139899898,NA,NA,NA
"333","exhaustive_test","OCS","clusterMedium",33,7.37913354603601,NA,NA,NA
"334","exhaustive_test","OCS","clusterMedium",34,7.40572318117821,NA,NA,NA
"335","exhaustive_test","OCS","clusterMedium",35,7.73113360326402,NA,NA,NA
"336","exhaustive_test","OCS","clusterMedium",36,7.40412938410053,NA,NA,NA
"337","exhaustive_test","OCS","clusterMedium",37,7.48785166108361,NA,NA,NA
"338","exhaustive_test","OCS","clusterMedium",38,7.51426642023401,NA,NA,NA
"339","exhaustive_test","OCS","clusterMedium",39,7.59995309588812,NA,NA,NA
"340","exhaustive_test","OCS","clusterMedium",40,7.5094054395029,NA,NA,NA
"341","exhaustive_test","OCS","clusterMedium",41,7.46295166040614,NA,NA,NA
